"Date","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","year","month","day"
2018-08-01,0.036,"ppm",33,"Cranberry","Avery",36.1058,-82.0454,2018,8,1
2018-08-02,0.029,"ppm",27,"Cranberry","Avery",36.1058,-82.0454,2018,8,2
2018-08-03,0.026,"ppm",24,"Cranberry","Avery",36.1058,-82.0454,2018,8,3
2018-08-04,0.026,"ppm",24,"Cranberry","Avery",36.1058,-82.0454,2018,8,4
2018-08-05,0.034,"ppm",31,"Cranberry","Avery",36.1058,-82.0454,2018,8,5
2018-08-06,0.038,"ppm",35,"Cranberry","Avery",36.1058,-82.0454,2018,8,6
2018-08-07,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,8,7
2018-08-08,0.038,"ppm",35,"Cranberry","Avery",36.1058,-82.0454,2018,8,8
2018-08-09,0.042,"ppm",39,"Cranberry","Avery",36.1058,-82.0454,2018,8,9
2018-08-10,0.038,"ppm",35,"Cranberry","Avery",36.1058,-82.0454,2018,8,10
2018-08-11,0,"ppm",0,"Cranberry","Avery",36.1058,-82.0454,2018,8,11
2018-08-12,0,"ppm",0,"Cranberry","Avery",36.1058,-82.0454,2018,8,12
2018-08-13,0,"ppm",0,"Cranberry","Avery",36.1058,-82.0454,2018,8,13
2018-08-14,0,"ppm",0,"Cranberry","Avery",36.1058,-82.0454,2018,8,14
2018-08-15,0,"ppm",0,"Cranberry","Avery",36.1058,-82.0454,2018,8,15
2018-08-16,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,8,16
2018-08-17,0.05,"ppm",46,"Cranberry","Avery",36.1058,-82.0454,2018,8,17
2018-08-18,0.042,"ppm",39,"Cranberry","Avery",36.1058,-82.0454,2018,8,18
2018-08-19,0.036,"ppm",33,"Cranberry","Avery",36.1058,-82.0454,2018,8,19
2018-08-20,0.037,"ppm",34,"Cranberry","Avery",36.1058,-82.0454,2018,8,20
2018-08-21,0.042,"ppm",39,"Cranberry","Avery",36.1058,-82.0454,2018,8,21
2018-08-22,0.042,"ppm",39,"Cranberry","Avery",36.1058,-82.0454,2018,8,22
2018-08-24,0.034,"ppm",31,"Cranberry","Avery",36.1058,-82.0454,2018,8,24
2018-08-25,0.04,"ppm",37,"Cranberry","Avery",36.1058,-82.0454,2018,8,25
2018-08-26,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,8,26
2018-08-27,0.031,"ppm",29,"Cranberry","Avery",36.1058,-82.0454,2018,8,27
2018-08-28,0.039,"ppm",36,"Cranberry","Avery",36.1058,-82.0454,2018,8,28
2018-08-29,0.042,"ppm",39,"Cranberry","Avery",36.1058,-82.0454,2018,8,29
2018-08-30,0.036,"ppm",33,"Cranberry","Avery",36.1058,-82.0454,2018,8,30
2018-08-31,0.032,"ppm",30,"Cranberry","Avery",36.1058,-82.0454,2018,8,31
2018-09-01,0.036,"ppm",33,"Cranberry","Avery",36.1058,-82.0454,2018,9,1
2018-09-02,0.023,"ppm",21,"Cranberry","Avery",36.1058,-82.0454,2018,9,2
2018-09-03,0.031,"ppm",29,"Cranberry","Avery",36.1058,-82.0454,2018,9,3
2018-09-04,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,9,4
2018-09-05,0.036,"ppm",33,"Cranberry","Avery",36.1058,-82.0454,2018,9,5
2018-09-06,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,9,6
2018-09-07,0.029,"ppm",27,"Cranberry","Avery",36.1058,-82.0454,2018,9,7
2018-09-08,0.04,"ppm",37,"Cranberry","Avery",36.1058,-82.0454,2018,9,8
2018-09-09,0.031,"ppm",29,"Cranberry","Avery",36.1058,-82.0454,2018,9,9
2018-09-10,0.027,"ppm",25,"Cranberry","Avery",36.1058,-82.0454,2018,9,10
2018-09-11,0.028,"ppm",26,"Cranberry","Avery",36.1058,-82.0454,2018,9,11
2018-09-12,0.029,"ppm",27,"Cranberry","Avery",36.1058,-82.0454,2018,9,12
2018-09-13,0.026,"ppm",24,"Cranberry","Avery",36.1058,-82.0454,2018,9,13
2018-09-14,0.019,"ppm",18,"Cranberry","Avery",36.1058,-82.0454,2018,9,14
2018-09-15,0.023,"ppm",21,"Cranberry","Avery",36.1058,-82.0454,2018,9,15
2018-09-16,0.023,"ppm",21,"Cranberry","Avery",36.1058,-82.0454,2018,9,16
2018-09-17,0.028,"ppm",26,"Cranberry","Avery",36.1058,-82.0454,2018,9,17
2018-09-18,0.041,"ppm",38,"Cranberry","Avery",36.1058,-82.0454,2018,9,18
2018-09-19,0.047,"ppm",44,"Cranberry","Avery",36.1058,-82.0454,2018,9,19
2018-09-20,0.044,"ppm",41,"Cranberry","Avery",36.1058,-82.0454,2018,9,20
2018-09-21,0.043,"ppm",40,"Cranberry","Avery",36.1058,-82.0454,2018,9,21
2018-09-22,0.043,"ppm",40,"Cranberry","Avery",36.1058,-82.0454,2018,9,22
2018-09-23,0.037,"ppm",34,"Cranberry","Avery",36.1058,-82.0454,2018,9,23
2018-09-24,0.028,"ppm",26,"Cranberry","Avery",36.1058,-82.0454,2018,9,24
2018-09-25,0.026,"ppm",24,"Cranberry","Avery",36.1058,-82.0454,2018,9,25
2018-09-26,0.026,"ppm",24,"Cranberry","Avery",36.1058,-82.0454,2018,9,26
2018-09-27,0.025,"ppm",23,"Cranberry","Avery",36.1058,-82.0454,2018,9,27
2018-09-28,0.028,"ppm",26,"Cranberry","Avery",36.1058,-82.0454,2018,9,28
2018-09-29,0.032,"ppm",30,"Cranberry","Avery",36.1058,-82.0454,2018,9,29
2018-09-30,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,9,30
2018-10-01,0.029,"ppm",27,"Cranberry","Avery",36.1058,-82.0454,2018,10,1
2018-10-02,0.033,"ppm",31,"Cranberry","Avery",36.1058,-82.0454,2018,10,2
2018-10-03,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,10,3
2018-10-04,0.043,"ppm",40,"Cranberry","Avery",36.1058,-82.0454,2018,10,4
2018-10-05,0.04,"ppm",37,"Cranberry","Avery",36.1058,-82.0454,2018,10,5
2018-10-06,0.04,"ppm",37,"Cranberry","Avery",36.1058,-82.0454,2018,10,6
2018-10-07,0.039,"ppm",36,"Cranberry","Avery",36.1058,-82.0454,2018,10,7
2018-10-08,0.037,"ppm",34,"Cranberry","Avery",36.1058,-82.0454,2018,10,8
2018-10-09,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,10,9
2018-10-10,0.031,"ppm",29,"Cranberry","Avery",36.1058,-82.0454,2018,10,10
2018-10-11,0.031,"ppm",29,"Cranberry","Avery",36.1058,-82.0454,2018,10,11
2018-10-12,0.043,"ppm",40,"Cranberry","Avery",36.1058,-82.0454,2018,10,12
2018-10-13,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,10,13
2018-10-14,0.032,"ppm",30,"Cranberry","Avery",36.1058,-82.0454,2018,10,14
2018-10-15,0.036,"ppm",33,"Cranberry","Avery",36.1058,-82.0454,2018,10,15
2018-10-19,0.043,"ppm",40,"Cranberry","Avery",36.1058,-82.0454,2018,10,19
2018-10-20,0.038,"ppm",35,"Cranberry","Avery",36.1058,-82.0454,2018,10,20
2018-10-21,0.034,"ppm",31,"Cranberry","Avery",36.1058,-82.0454,2018,10,21
2018-10-22,0.039,"ppm",36,"Cranberry","Avery",36.1058,-82.0454,2018,10,22
2018-10-23,0.047,"ppm",44,"Cranberry","Avery",36.1058,-82.0454,2018,10,23
2018-10-24,0.043,"ppm",40,"Cranberry","Avery",36.1058,-82.0454,2018,10,24
2018-10-25,0.034,"ppm",31,"Cranberry","Avery",36.1058,-82.0454,2018,10,25
2018-10-26,0.04,"ppm",37,"Cranberry","Avery",36.1058,-82.0454,2018,10,26
2018-10-27,0.037,"ppm",34,"Cranberry","Avery",36.1058,-82.0454,2018,10,27
2018-10-28,0.042,"ppm",39,"Cranberry","Avery",36.1058,-82.0454,2018,10,28
2018-10-29,0.038,"ppm",35,"Cranberry","Avery",36.1058,-82.0454,2018,10,29
2018-10-30,0.042,"ppm",39,"Cranberry","Avery",36.1058,-82.0454,2018,10,30
2018-10-31,0.05,"ppm",46,"Cranberry","Avery",36.1058,-82.0454,2018,10,31
2018-11-01,0.044,"ppm",41,"Cranberry","Avery",36.1058,-82.0454,2018,11,1
2018-11-02,0.031,"ppm",29,"Cranberry","Avery",36.1058,-82.0454,2018,11,2
2018-11-03,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,11,3
2018-11-04,0.04,"ppm",37,"Cranberry","Avery",36.1058,-82.0454,2018,11,4
2018-11-05,0.03,"ppm",28,"Cranberry","Avery",36.1058,-82.0454,2018,11,5
2018-11-06,0.045,"ppm",42,"Cranberry","Avery",36.1058,-82.0454,2018,11,6
2018-11-07,0.044,"ppm",41,"Cranberry","Avery",36.1058,-82.0454,2018,11,7
2018-11-08,0.04,"ppm",37,"Cranberry","Avery",36.1058,-82.0454,2018,11,8
2018-11-09,0.031,"ppm",29,"Cranberry","Avery",36.1058,-82.0454,2018,11,9
2018-11-10,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,11,10
2018-11-11,0.036,"ppm",33,"Cranberry","Avery",36.1058,-82.0454,2018,11,11
2018-11-12,0.038,"ppm",35,"Cranberry","Avery",36.1058,-82.0454,2018,11,12
2018-11-13,0.038,"ppm",35,"Cranberry","Avery",36.1058,-82.0454,2018,11,13
2018-11-14,0.038,"ppm",35,"Cranberry","Avery",36.1058,-82.0454,2018,11,14
2018-11-16,0.043,"ppm",40,"Cranberry","Avery",36.1058,-82.0454,2018,11,16
2018-11-17,0.039,"ppm",36,"Cranberry","Avery",36.1058,-82.0454,2018,11,17
2018-11-18,0.04,"ppm",37,"Cranberry","Avery",36.1058,-82.0454,2018,11,18
2018-11-19,0.045,"ppm",42,"Cranberry","Avery",36.1058,-82.0454,2018,11,19
2018-11-20,0.036,"ppm",33,"Cranberry","Avery",36.1058,-82.0454,2018,11,20
2018-11-21,0.041,"ppm",38,"Cranberry","Avery",36.1058,-82.0454,2018,11,21
2018-11-22,0.041,"ppm",38,"Cranberry","Avery",36.1058,-82.0454,2018,11,22
2018-11-23,0.035,"ppm",32,"Cranberry","Avery",36.1058,-82.0454,2018,11,23
2018-11-24,0.037,"ppm",34,"Cranberry","Avery",36.1058,-82.0454,2018,11,24
2018-11-25,0.038,"ppm",35,"Cranberry","Avery",36.1058,-82.0454,2018,11,25
2018-11-26,0.034,"ppm",31,"Cranberry","Avery",36.1058,-82.0454,2018,11,26
2018-11-27,0.029,"ppm",27,"Cranberry","Avery",36.1058,-82.0454,2018,11,27
2018-11-28,0.039,"ppm",36,"Cranberry","Avery",36.1058,-82.0454,2018,11,28
2018-11-29,0.046,"ppm",43,"Cranberry","Avery",36.1058,-82.0454,2018,11,29
2018-11-30,0.039,"ppm",36,"Cranberry","Avery",36.1058,-82.0454,2018,11,30
2018-12-01,0.043,"ppm",40,"Cranberry","Avery",36.1058,-82.0454,2018,12,1
2018-12-02,0.044,"ppm",41,"Cranberry","Avery",36.1058,-82.0454,2018,12,2
2018-12-03,0.042,"ppm",39,"Cranberry","Avery",36.1058,-82.0454,2018,12,3
2018-12-04,0.023,"ppm",21,"Cranberry","Avery",36.1058,-82.0454,2018,12,4
2018-12-05,0.031,"ppm",29,"Cranberry","Avery",36.1058,-82.0454,2018,12,5
2018-12-06,0.039,"ppm",36,"Cranberry","Avery",36.1058,-82.0454,2018,12,6
2018-12-07,0.034,"ppm",31,"Cranberry","Avery",36.1058,-82.0454,2018,12,7
2018-12-08,0.037,"ppm",34,"Cranberry","Avery",36.1058,-82.0454,2018,12,8
2018-12-09,0.043,"ppm",40,"Cranberry","Avery",36.1058,-82.0454,2018,12,9
2018-02-22,0.029,"ppm",27,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,2,22
2018-02-23,0.033,"ppm",31,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,2,23
2018-02-24,0.039,"ppm",36,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,2,24
2018-02-25,0.034,"ppm",31,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,2,25
2018-02-26,0.038,"ppm",35,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,2,26
2018-02-27,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,2,27
2018-02-28,0.037,"ppm",34,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,2,28
2018-03-01,0.045,"ppm",42,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,1
2018-03-02,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,2
2018-03-03,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,3
2018-03-04,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,4
2018-03-05,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,5
2018-03-06,0.033,"ppm",31,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,6
2018-03-07,0.039,"ppm",36,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,7
2018-03-08,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,8
2018-03-09,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,9
2018-03-10,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,10
2018-03-11,0.036,"ppm",33,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,11
2018-03-12,0.047,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,12
2018-03-13,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,13
2018-03-14,0.047,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,14
2018-03-15,0.058,"ppm",61,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,15
2018-03-16,0.061,"ppm",71,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,16
2018-03-17,0.053,"ppm",49,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,17
2018-03-18,0.049,"ppm",45,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,18
2018-03-19,0.042,"ppm",39,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,19
2018-03-20,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,20
2018-03-21,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,21
2018-03-22,0.049,"ppm",45,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,22
2018-03-23,0.052,"ppm",48,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,23
2018-03-24,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,24
2018-03-25,0.047,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,25
2018-03-26,0.049,"ppm",45,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,26
2018-03-27,0.045,"ppm",42,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,27
2018-03-28,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,28
2018-03-29,0.052,"ppm",48,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,29
2018-03-30,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,30
2018-03-31,0.052,"ppm",48,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,3,31
2018-04-01,0.051,"ppm",47,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,1
2018-04-02,0.052,"ppm",48,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,2
2018-04-03,0.051,"ppm",47,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,3
2018-04-04,0.047,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,4
2018-04-05,0.05,"ppm",46,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,5
2018-04-06,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,6
2018-04-07,0.045,"ppm",42,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,7
2018-04-08,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,8
2018-04-09,0.035,"ppm",32,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,9
2018-04-10,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,10
2018-04-11,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,11
2018-04-12,0.062,"ppm",74,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,12
2018-04-13,0.062,"ppm",74,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,13
2018-04-14,0.047,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,14
2018-04-15,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,15
2018-04-16,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,16
2018-04-17,0.058,"ppm",61,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,17
2018-04-18,0.061,"ppm",71,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,18
2018-04-19,0.045,"ppm",42,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,19
2018-04-20,0.058,"ppm",61,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,20
2018-04-21,0.063,"ppm",77,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,21
2018-04-22,0.05,"ppm",46,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,22
2018-04-23,0.047,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,23
2018-04-24,0.039,"ppm",36,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,24
2018-04-25,0.041,"ppm",38,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,25
2018-04-26,0.036,"ppm",33,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,26
2018-04-27,0.055,"ppm",51,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,27
2018-04-28,0.06,"ppm",67,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,28
2018-04-29,0.05,"ppm",46,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,29
2018-04-30,0.052,"ppm",48,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,4,30
2018-05-01,0.062,"ppm",74,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,1
2018-05-02,0.065,"ppm",84,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,2
2018-05-03,0.064,"ppm",80,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,3
2018-05-04,0.056,"ppm",54,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,4
2018-05-05,0.05,"ppm",46,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,5
2018-05-06,0.053,"ppm",49,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,6
2018-05-07,0.054,"ppm",50,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,7
2018-05-08,0.054,"ppm",50,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,8
2018-05-09,0.055,"ppm",51,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,9
2018-05-10,0.054,"ppm",50,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,10
2018-05-11,0.053,"ppm",49,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,11
2018-05-12,0.054,"ppm",50,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,12
2018-05-13,0.056,"ppm",54,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,13
2018-05-14,0.053,"ppm",49,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,14
2018-05-15,0.039,"ppm",36,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,15
2018-05-16,0.021,"ppm",19,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,16
2018-05-17,0.033,"ppm",31,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,17
2018-05-18,0.038,"ppm",35,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,18
2018-05-19,0.038,"ppm",35,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,19
2018-05-20,0.039,"ppm",36,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,20
2018-05-21,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,21
2018-05-22,0.027,"ppm",25,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,22
2018-05-23,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,23
2018-05-24,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,24
2018-05-25,0.036,"ppm",33,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,25
2018-05-26,0.025,"ppm",23,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,26
2018-05-27,0.028,"ppm",26,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,27
2018-05-28,0.018,"ppm",17,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,28
2018-05-29,0.024,"ppm",22,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,29
2018-05-30,0.03,"ppm",28,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,30
2018-05-31,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,5,31
2018-06-01,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,1
2018-06-02,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,2
2018-06-03,0.052,"ppm",48,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,3
2018-06-04,0.056,"ppm",54,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,4
2018-06-05,0.058,"ppm",61,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,5
2018-06-06,0.061,"ppm",71,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,6
2018-06-07,0.068,"ppm",93,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,7
2018-06-08,0.058,"ppm",61,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,8
2018-06-09,0.058,"ppm",61,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,9
2018-06-10,0.049,"ppm",45,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,10
2018-06-11,0.038,"ppm",35,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,11
2018-06-12,0.035,"ppm",32,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,12
2018-06-13,0.035,"ppm",32,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,13
2018-06-14,0.047,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,14
2018-06-15,0.055,"ppm",51,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,15
2018-06-16,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,16
2018-06-17,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,17
2018-06-18,0.047,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,18
2018-06-19,0.038,"ppm",35,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,19
2018-06-20,0.029,"ppm",27,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,20
2018-06-21,0.025,"ppm",23,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,21
2018-06-22,0.041,"ppm",38,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,22
2018-06-23,0.043,"ppm",40,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,23
2018-06-24,0.034,"ppm",31,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,24
2018-06-25,0.028,"ppm",26,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,25
2018-06-26,0.023,"ppm",21,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,26
2018-06-27,0.028,"ppm",26,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,27
2018-06-28,0.032,"ppm",30,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,28
2018-06-29,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,29
2018-06-30,0.05,"ppm",46,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,6,30
2018-07-01,0.035,"ppm",32,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,1
2018-07-02,0.036,"ppm",33,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,2
2018-07-03,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,3
2018-07-04,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,4
2018-07-05,0.03,"ppm",28,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,5
2018-07-06,0.032,"ppm",30,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,6
2018-07-07,0.03,"ppm",28,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,7
2018-07-08,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,8
2018-07-09,0.045,"ppm",42,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,9
2018-07-10,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,10
2018-07-11,0.049,"ppm",45,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,11
2018-07-12,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,12
2018-07-13,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,13
2018-07-14,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,14
2018-07-15,0.041,"ppm",38,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,15
2018-07-16,0.032,"ppm",30,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,16
2018-07-17,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,17
2018-07-18,0.048,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,18
2018-07-19,0.04,"ppm",37,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,19
2018-07-20,0.049,"ppm",45,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,20
2018-07-21,0.045,"ppm",42,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,21
2018-07-22,0.037,"ppm",34,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,22
2018-07-23,0.038,"ppm",35,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,23
2018-07-24,0.044,"ppm",41,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,24
2018-07-25,0.028,"ppm",26,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,25
2018-07-26,0.046,"ppm",43,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,26
2018-07-27,0.047,"ppm",44,"Bent Creek","Buncombe",35.500102,-82.59986031,2018,7,27
